A,B
"(210, -40, 4, 0)","[34.15554507345968, 0, 2]"
"(210, -40, 5, 0)","[199.89344960780204, 0, 372]"
"(210, -50, 6, 0)","[199.88804564435338, 0, 227]"
"(210, -60, 7, 0)","[199.88308589195012, 0, 333]"
"(210, -60, 8, 0)","[199.87853827074443, 0, 340]"
"(210, -70, 9, 0)","[199.87204295778412, 0, 372]"
"(210, -80, 10, 0)","[-838.89693801399, 199.8650145410113, 375]"
"(210, -90, 10, 0)","[-549.7080282844099, 199.84539413099327, 339]"
"(210, -100, 10, 0)","[-655.7408630190725, -841.6421423538543, 5]"
"(210, -110, 10, 0)","[-900.0, -789.7190883064087, 4]"
"(210, -120, 10, 0)","[-812.9055307915253, 0, 1]"
"(350, -10, -5, 0)","[199.97670564254673, 0, 314]"
"(350, 0, -1, 0)","[199.97125648623398, 0, 314]"
"(350, 0, 0, 0)","[199.96907515420196, 0, 314]"
"(350, -10, 4, 0)","[199.95953148990887, 0, 314]"
"(280, -70, -9, 0)","[199.93744028747528, 0, 329]"
"(280, -50, -6, 0)","[199.9282704969264, 0, 334]"
"(280, -40, -4, 0)","[199.92128156432528, 0, 329]"
"(280, -40, -3, 0)","[199.90744763815724, 0, 262]"
"(280, -40, 2, 0)","[199.8805315524935, 0, 262]"
"(280, -40, 3, 0)","[199.8855153310543, 0, 329]"
"(280, -40, 4, 0)","[199.89645968942423, 0, 335]"
"(280, -50, 5, 0)","[199.87346177199407, 0, 334]"
"(280, -50, 6, 0)","[199.86823975875794, 0, 129]"
"(210, -70, 8, 0)","[199.85629402691563, 0, 329]"
"(210, -80, 9, 0)","[199.8508293294004, 0, 334]"
"(210, -100, -9, 0)","[116.7680118203139, 0, 3]"
"(210, -90, -8, 0)","[113.85260503558852, 0, 3]"
"(210, -80, -7, 0)","[70.53083583256108, 0, 4]"
"(210, -80, -6, 0)","[106.55858707637091, 0, 3]"
"(210, -70, -5, 0)","[102.02867150424163, 0, 3]"
"(210, -70, -4, 0)","[96.79115862649219, 0, 3]"
"(210, -70, -3, 0)","[90.74111452142395, 0, 2]"
"(210, -60, -2, 0)","[87.95814941950968, 0, 3]"
"(210, -60, -1, 0)","[107.98302493059796, 0, 2]"
"(210, -60, 0, 0)","[107.98211360624136, 0, 2]"
"(210, -60, 1, 0)","[107.89150759012996, 0, 2]"
"(210, -70, 2, 0)","[69.29140065907796, 0, 1]"
"(140, -70, 3, 0)","[95.1112543971876, 0, 3]"
"(140, -70, 4, 0)","[87.21595222653794, 0, 3]"
"(140, -80, 5, 0)","[77.88815223966377, 0, 3]"
"(140, -80, 6, 0)","[23.383865155349383, 0, 4]"
"(140, -90, 7, 0)","[53.94163764285782, 0, 3]"
"(140, -100, 8, 0)","[38.729714371753325, 0, 3]"
"(140, -110, 9, 0)","[20.888389462599076, 0, 3]"
"(140, -120, 10, 0)","[-888.1269387506401, -849.6362184308841, 4]"
"(140, -130, 10, 0)","[20.882888937431204, 0, 4]"
"(130, -110, -3, 0)","[76.6307878252265, 0, 1]"
"(120, -100, 0, 0)","[96.83881316385651, 0, 2]"
"(110, -110, 2, 0)","[69.68093623987656, 0, 1]"
"(100, -120, 5, 0)","[91.11445578326708, 0, 2]"
"(90, -130, 7, 0)","[85.70167402795713, 0, 2]"
"(80, -160, 10, 0)","[-892.4429484095504, -369.6615195292729, 60]"
"(70, -160, -9, 0)","[67.15389277712272, 0, 2]"
"(70, -150, -8, 0)","[72.67523479767584, 0, 5]"
"(70, -140, -7, 0)","[66.76111513124883, 0, 8]"
"(60, -140, -6, 0)","[50.20134260220029, 0, 2]"
"(60, -130, -5, 0)","[54.261824653667716, 0, 6]"
"(50, -130, -4, 0)","[35.262342377493745, 0, 2]"
"(50, -120, -2, 0)","[-535.670822906307, 33.509606624999996, 8]"
"(40, -120, -1, 0)","[10.6695, 0, 2]"
"(40, -120, 0, 0)","[-759.6, -892.3050000000001, 3]"
"(30, -120, 1, 0)","[-1669.5, -900.0, 2]"
"(30, -120, -9, 0)","[-1751.4339538729944, -920.1512919468569, 6]"
"(210, -60, -3, 0)","[101.27018756763354, 0, 1]"
"(210, -60, 2, 0)","[107.68081033190504, 0, 1]"
"(130, -100, -3, 0)","[96.09625212549372, 0, 1]"
"(110, -100, 2, 0)","[91.21071534667246, 0, 1]"
"(50, -120, -3, 0)","[-458.39083724711594, -366.2218666282183, 12]"
"(30, -110, -9, 0)","[-1911.5779856653803, -899.4315295289103, 12]"
"(30, -110, -8, 0)","[-988.7914541851009, -900.0, 5]"
"(420, 0, -9, 0)","[199.97569647728164, 0, 355]"
"(350, 20, -6, 0)","[199.9713011985702, 0, 357]"
"(350, 30, -4, 0)","[199.9679709735881, 0, 355]"
"(350, 30, -3, 0)","[199.9692735365667, 0, 356]"
"(350, 30, 2, 0)","[199.96387748537668, 0, 356]"
"(350, 30, 3, 0)","[199.95245122453102, 0, 355]"
"(350, 20, 5, 0)","[199.94662156428134, 0, 357]"
"(350, 0, 8, 0)","[199.93765099017185, 0, 355]"
"(350, -10, 9, 0)","[199.93421704247453, 0, 357]"
"(280, -50, -9, 0)","[199.9091200888619, 0, 38]"
"(280, -40, -8, 0)","[199.97702853260083, 0, 224]"
