A,B
"(280, -20, 4, 0)","[99.4431676266302, 0, 3]"
"(210, -40, -9, 0)","[199.97364645755732, 0, 694]"
"(210, -30, -8, 0)","[199.97960252250328, 0, 1002]"
"(210, -20, -7, 0)","[199.98012851034122, 0, 1434]"
"(210, -20, -6, 0)","[199.93911609812773, 0, 553]"
"(210, -10, -5, 0)","[199.97824896996295, 0, 1295]"
"(210, -10, -4, 0)","[199.9713847948727, 0, 694]"
"(210, -10, -3, 0)","[199.9335268361876, 0, 454]"
"(210, 0, -2, 0)","[199.97470499655665, 0, 1433]"
"(210, 0, -1, 0)","[199.973141763451, 0, 1138]"
"(210, 0, 0, 0)","[199.9714179367383, 0, 984]"
"(210, 0, 1, 0)","[199.96951830773958, 0, 926]"
"(210, -10, 3, 0)","[199.90395877612735, 0, 565]"
"(210, -10, 4, 0)","[199.95647360901125, 0, 442]"
"(140, -20, 5, 0)","[55.30901461445452, 0, 5]"
"(140, -20, 6, 0)","[199.95620297578762, 0, 1308]"
"(140, -30, 7, 0)","[199.97087761276276, 0, 1002]"
"(140, -40, 8, 0)","[199.97288213676353, 0, 580]"
"(140, -50, 9, 0)","[-894.0568960871524, 199.93820265707404, 394]"
"(140, -60, 10, 0)","[-864.9809847902342, 199.94292648734654, 1886]"
"(140, -60, -9, 0)","[199.970628025754, 0, 187]"
"(140, -50, -8, 0)","[199.9578846737951, 0, 613]"
"(140, -40, -7, 0)","[199.90152110909912, 0, 1195]"
"(140, -40, -6, 0)","[67.46120439286129, 0, 1]"
"(140, -30, -5, 0)","[199.87604213805974, 0, 857]"
"(140, -30, -4, 0)","[199.8579079259432, 0, 126]"
"(140, -30, -3, 0)","[74.35267650722558, 0, 6]"
"(130, -20, 1, 0)","[199.7515868510108, 0, 522]"
"(130, -30, 2, 0)","[57.55504448608447, 0, 3]"
"(130, -30, 3, 0)","[199.73297425933632, 0, 31]"
"(120, -30, 4, 0)","[199.62776284699862, 0, 300]"
"(120, -40, 5, 0)","[46.91349096160535, 0, 1]"
"(110, -40, 6, 0)","[199.52529944031457, 0, 522]"
"(110, -50, 7, 0)","[199.70677335148795, 0, 178]"
"(110, -60, 8, 0)","[199.66016773091437, 0, 31]"
"(100, -70, 9, 0)","[-82.1013657394479, 199.8502784764757, 137]"
"(100, -80, 10, 0)","[-93.12131430276126, -836.5945986904247, 11]"
"(90, -90, 10, 0)","[77.53557389121703, -848.1691000801546, 57]"
"(90, -100, 10, 0)","[-265.41100311580556, -853.8557209340918, 27]"
"(90, -110, 10, 0)","[-306.65555343865805, -855.0300829638501, 69]"
"(80, -120, 10, 0)","[-900.0, -359.64072666163617, 45]"
"(80, -130, 10, 0)","[-900.0, -95.34037743588569, 8]"
"(70, -130, 10, 0)","[36.870811130377334, 0, 6]"
"(420, 10, -7, 0)","[199.9554167701238, 0, 292]"
"(350, 20, -5, 0)","[199.95142677289627, 0, 284]"
"(350, 30, -2, 0)","[199.9436322592603, 0, 292]"
"(350, 30, -1, 0)","[199.93950794994612, 0, 284]"
"(350, 30, 0, 0)","[199.93433137266598, 0, 284]"
"(350, 30, 1, 0)","[199.9278977092892, 0, 292]"
"(350, 20, 4, 0)","[199.91073138594982, 0, 284]"
"(350, 10, 6, 0)","[199.89287400509804, 0, 292]"
"(280, -20, 0, 0)","[85.94696408059426, 0, 1]"
"(280, -20, 1, 0)","[89.9964492170693, 0, 1]"
"(280, -30, 4, 0)","[88.52081810678843, 0, 1]"
"(210, -30, -7, 0)","[199.9421342313965, 0, 318]"
"(210, -20, -5, 0)","[199.93588174769965, 0, 282]"
"(210, -10, -2, 0)","[199.9308274571452, 0, 317]"
"(140, -30, 6, 0)","[199.92012445978682, 0, 173]"
"(140, -70, -9, 0)","[105.49785093558604, 0, 6]"
"(140, -60, -8, 0)","[101.17712019030554, 0, 6]"
"(140, -60, -7, 0)","[86.09808656312588, 0, 3]"
"(140, -50, -6, 0)","[90.69119140259677, 0, 6]"
"(140, -50, -5, 0)","[69.89771370216863, 0, 2]"
"(140, -40, -4, 0)","[79.01455733400446, 0, 6]"
"(140, -40, -3, 0)","[83.91715436280231, 0, 2]"
"(140, -40, -2, 0)","[80.99803921825101, 0, 2]"
"(140, -40, -1, 0)","[54.64013995687811, 0, 1]"
"(130, -40, 0, 0)","[53.38028065131943, 0, 1]"
